day,time,,wea,tem,hum,win,dir,winclass,rain,tembody
2019/1/10,7:00,,局部多云,-1℃,23%,轻风,西风,2级,-,-1℃
2019/1/10,8:00,,晴朗,0℃,23%,轻风,西风,2级,-,-1℃
2019/1/10,9:00,,局部多云,1℃,22%,轻风,西南风,2级,-,0℃
2019/1/10,10:00,,晴朗,2℃,20%,软风,西南风,1级,-,1℃
2019/1/10,11:00,,局部多云,2℃,18%,无风,-,-,-,2℃
2019/1/10,12:00,,局部多云,3℃,17%,轻风,南风,2级,-,3℃
2019/1/10,13:00,,局部多云,4℃,17%,微风,南风,3级,-,4℃
2019/1/10,14:00,,局部多云,5℃,16%,微风,东南风,3级,-,4℃
2019/1/10,15:00,,局部多云,5℃,17%,微风,南风,3级,-,4℃
2019/1/10,16:00,,局部多云,5℃,18%,微风,南风,3级,-,4℃
2019/1/10,17:00,,局部多云,4℃,19%,微风,南风,3级,-,3℃
2019/1/10,18:00,,局部多云,4℃,20%,微风,西南风,3级,-,3℃
2019/1/10,19:00,,局部多云,3℃,21%,轻风,西风,2级,-,3℃
2019/1/10,20:00,,局部多云,3℃,22%,轻风,西北风,2级,-,3℃
2019/1/10,21:00,,局部多云,2℃,22%,轻风,西北风,2级,-,2℃
2019/1/10,22:00,,局部多云,2℃,23%,软风,西风,1级,-,2℃
2019/1/10,23:00,,局部多云,1℃,24%,软风,西南风,1级,-,1℃
2019/1/11,0:00,,多云,1℃,27%,轻风,南风,2级,-,1℃
2019/1/11,1:00,,局部多云,1℃,27%,轻风,东风,2级,-,1℃
2019/1/11,2:00,,多云,1℃,28%,轻风,北风,2级,-,1℃
2019/1/11,3:00,,多云,1℃,29%,轻风,北风,2级,-,1℃
2019/1/11,4:00,,多云,0℃,30%,轻风,北风,2级,-,0℃
2019/1/11,5:00,,多云,0℃,31%,轻风,北风,2级,-,0℃
2019/1/11,6:00,,局部多云,1℃,31%,轻风,东南风,2级,-,1℃
2019/1/11,7:00,,多云,2℃,32%,轻风,西南风,2级,-,2℃
2019/1/11,8:00,,局部多云,3℃,33%,软风,北风,1级,-,3℃
2019/1/11,9:00,,局部多云,3℃,31%,轻风,西风,2级,-,3℃
2019/1/11,10:00,,局部多云,4℃,29%,轻风,南风,2级,-,4℃
2019/1/11,11:00,,局部多云,4℃,27%,轻风,东风,2级,-,4℃
2019/1/11,12:00,,局部多云,5℃,26%,轻风,东风,2级,-,4℃
2019/1/11,13:00,,局部多云,5℃,25%,微风,东风,3级,-,5℃
2019/1/11,14:00,,局部多云,6℃,24%,微风,东南风,3级,-,5℃
2019/1/11,15:00,,局部多云,6℃,26%,微风,东南风,3级,-,5℃
2019/1/11,16:00,,局部多云,5℃,27%,微风,东南风,3级,-,5℃
2019/1/11,17:00,,局部多云,5℃,29%,微风,东南风,3级,-,5℃
2019/1/11,18:00,,晴朗,5℃,29%,轻风,南风,2级,-,4℃
2019/1/11,19:00,,局部多云,4℃,30%,轻风,西南风,2级,-,4℃
2019/1/11,20:00,,晴朗,3℃,31%,轻风,西南风,2级,-,3℃
2019/1/11,21:00,,晴朗,1℃,31%,轻风,西南风,2级,-,1℃
2019/1/11,22:00,,晴朗,-1℃,31%,软风,西南风,1级,-,-1℃
2019/1/11,23:00,,晴朗,-3℃,31%,软风,西风,1级,-,-3℃
2019/1/12,0:00,,晴朗,-1℃,36%,软风,西南风,1级,-,-1℃
2019/1/12,1:00,,晴朗,2℃,36%,软风,西南风,1级,-,2℃
2019/1/12,2:00,,晴朗,5℃,36%,软风,西南风,1级,-,5℃
2019/1/12,3:00,,局部多云,3℃,37%,软风,西南风,1级,-,3℃
2019/1/12,4:00,,晴天,1℃,37%,软风,西南风,1级,-,1℃
2019/1/12,5:00,,局部多云,0℃,37%,软风,西南风,1级,-,0℃
2019/1/12,6:00,,局部多云,0℃,37%,软风,南风,1级,-,0℃
2019/1/12,7:00,,局部多云,-1℃,37%,软风,东南风,1级,-,-1℃
2019/1/12,8:00,,局部多云,-1℃,37%,软风,东风,1级,-,-1℃
2019/1/12,9:00,,局部多云,1℃,35%,软风,东风,1级,-,1℃
2019/1/12,10:00,,局部多云,2℃,33%,轻风,东南风,2级,-,2℃
2019/1/12,11:00,,局部多云,3℃,31%,轻风,东南风,2级,-,3℃
2019/1/12,12:00,,晴朗,5℃,30%,微风,东南风,3级,-,5℃
2019/1/12,13:00,,局部多云,6℃,28%,微风,东南风,3级,-,6℃
2019/1/12,14:00,,晴朗,8℃,26%,微风,东南风,3级,-,8℃
2019/1/12,15:00,,晴朗,8℃,28%,微风,南风,3级,-,8℃
2019/1/12,16:00,,晴朗,8℃,29%,微风,南风,3级,-,8℃
2019/1/12,17:00,,晴朗,8℃,30%,微风,南风,3级,-,8℃
2019/1/12,18:00,,晴朗,7℃,31%,微风,西南风,3级,-,7℃
2019/1/12,19:00,,晴朗,7℃,31%,微风,西风,3级,-,6℃
2019/1/12,20:00,,晴朗,6℃,32%,微风,西北风,3级,-,6℃
2019/1/12,21:00,,晴朗,6℃,30%,和风,西北风,4级,-,5℃
2019/1/12,22:00,,晴朗,5℃,28%,和风,西北风,4级,-,4℃
2019/1/12,23:00,,晴朗,5℃,26%,和风,西北风,4级,-,3℃
2019/1/13,0:00,,晴朗,5℃,28%,和风,西北风,4级,-,3℃
2019/1/13,1:00,,晴朗,4℃,28%,和风,西北风,4级,-,3℃
2019/1/13,2:00,,晴朗,4℃,27%,和风,西北风,4级,-,3℃
2019/1/13,3:00,,晴朗,4℃,27%,和风,西北风,4级,-,2℃
2019/1/13,4:00,,晴朗,3℃,27%,和风,西北风,4级,-,2℃
2019/1/13,5:00,,晴朗,3℃,27%,和风,北风,4级,-,1℃
2019/1/13,6:00,,晴朗,3℃,28%,和风,北风,4级,-,1℃
2019/1/13,7:00,,晴朗,2℃,28%,和风,北风,4级,-,0℃
2019/1/13,8:00,,晴朗,2℃,28%,和风,北风,4级,-,0℃
2019/1/13,9:00,,晴朗,3℃,25%,清风,北风,5级,-,1℃
2019/1/13,10:00,,晴朗,4℃,23%,清风,北风,5级,-,2℃
2019/1/13,11:00,,晴朗,5℃,20%,清风,北风,5级,-,3℃
2019/1/13,12:00,,晴朗,6℃,19%,和风,西南风,4级,-,5℃
2019/1/13,13:00,,晴朗,8℃,17%,和风,东南风,4级,-,7℃
2019/1/13,14:00,,晴朗,9℃,16%,和风,北风,4级,-,8℃
2019/1/13,15:00,,晴朗,9℃,17%,微风,东北风,3级,-,8℃
2019/1/13,16:00,,晴朗,8℃,18%,微风,东风,3级,-,8℃
2019/1/13,17:00,,晴朗,8℃,19%,微风,东风,3级,-,8℃
2019/1/13,18:00,,晴朗,8℃,21%,轻风,东南风,2级,-,7℃
2019/1/13,19:00,,晴朗,7℃,22%,轻风,南风,2级,-,7℃
2019/1/13,20:00,,晴朗,6℃,23%,软风,西南风,1级,-,6℃
2019/1/13,21:00,,局部多云,6℃,24%,软风,西风,1级,-,6℃
2019/1/13,22:00,,晴朗,5℃,24%,软风,西风,1级,-,5℃
2019/1/13,23:00,,局部多云,5℃,25%,软风,西北风,1级,-,5℃
2019/1/14,0:00,,多云,2℃,27%,软风,东北风,1级,-,2℃
2019/1/14,1:00,,多云,1℃,28%,软风,东北风,1级,-,1℃
2019/1/14,2:00,,多云,0℃,28%,软风,东风,1级,-,0℃
2019/1/14,3:00,,局部多云,0℃,29%,软风,东风,1级,-,0℃
2019/1/14,4:00,,多云,0℃,30%,软风,东风,1级,-,0℃
2019/1/14,5:00,,局部多云,-1℃,30%,软风,东南风,1级,-,-1℃
2019/1/14,6:00,,局部多云,0℃,31%,软风,东风,1级,-,0℃
2019/1/14,7:00,,局部多云,0℃,31%,软风,东北风,1级,-,0℃
2019/1/14,8:00,,局部多云,0℃,32%,软风,东北风,1级,-,0℃
2019/1/14,9:00,,局部多云,1℃,29%,软风,东北风,1级,-,1℃
2019/1/14,10:00,,局部多云,2℃,26%,轻风,东风,2级,-,2℃
2019/1/14,11:00,,局部多云,4℃,24%,轻风,东南风,2级,-,4℃
2019/1/14,12:00,,局部多云,4℃,23%,轻风,东南风,2级,-,4℃
2019/1/14,13:00,,局部多云,5℃,21%,轻风,南风,2级,-,5℃
2019/1/14,14:00,,局部多云,6℃,20%,轻风,南风,2级,-,6℃
2019/1/14,15:00,,局部多云,5℃,21%,微风,西南风,3级,-,5℃
2019/1/14,16:00,,局部多云,5℃,21%,和风,西风,4级,-,3℃
